customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count,tenure_days,churn_risk,complaints_total,escalated_any,avg_csat,score_decile
1482-QVCSD,2023-10-02,Paid,2026-10-02,Basic,Monthly,2026-02-05,Too expensive,6.99,202,73,1,varun,India,Maharashtra,Female,1994-10-24,2024-10-15,0,60.0,1.0,857.0,high,1,0,60.0,10
1493-KSOII,2024-03-29,Organic,2026-03-29,Basic,Monthly,2025-10-04,Technical problems,6.99,127,69,1,naveen,India,Rajasthan,Female,1996-06-08,2024-10-17,0,40.0,1.0,554.0,med,1,0,40.0,9
1524-RDLIE,2021-06-18,Refferal,2027-06-18,Premium,Annual,,,22.99,1979,11,0,sneha,India,Tamil Nadu,Female,1983-02-16,,0,,,1908.0,low,0,0,,1
1532-XYSCB,2021-08-06,Refferal,2027-08-06,Standard,Monthly,,,15.99,1227,36,0,tanvi,India,Delhi,Male,1989-12-10,,0,,,1859.0,low,0,0,,3
1535-KVFYP,2020-12-04,Paid,2022-12-04,Standard,Monthly,2022-06-27,No longer needed,15.99,331,48,1,nandini,India,Karnataka,Male,1993-11-08,2022-06-25,0,30.0,1.0,570.0,low,1,0,30.0,5
1536-CSQMG,2020-05-27,Refferal,2027-05-27,Basic,Annual,,,7.99,855,36,0,priya,India,Nagaland,Male,1988-03-11,,0,,,2295.0,low,0,0,,3
1552-JIVHD,2020-06-11,Refferal,2027-06-11,Standard,Monthly,,,13.99,1263,38,0,mira,India,Maharashtra,Male,1991-12-27,2021-03-15,0,70.0,1.0,2280.0,low,1,0,70.0,4
1557-ZVFDV,2025-06-21,Paid,2027-06-21,Basic,Annual,2026-07-02,Technical problems,6.99,86,64,1,siddharth,India,Kerala,Male,1997-04-26,2025-07-18,1,30.0,1.0,376.0,med,1,1,30.0,8
1563-BVPZU,2025-06-25,Paid,2027-06-25,Basic,Monthly,,,7.99,165,71,0,raghav,India,Gujarat,Male,1986-07-04,,0,,,440.0,high,0,0,,9
1563-JGEEF,2025-03-23,Paid,2027-03-23,Standard,Monthly,2026-07-12,Billing issue,13.99,242,67,1,lalita,India,West Bengal,Male,1962-08-29,,0,,,476.0,med,0,0,,9
1568-ZKJJQ,2022-03-23,Organic,2027-03-23,Standard,Monthly,,,13.99,764,48,0,meera,India,West Bengal,Female,1983-02-22,2025-03-26,0,60.0,1.0,1630.0,low,1,0,60.0,5
1579-DMNRK,2022-07-21,Organic,2027-07-21,Basic,Monthly,,,7.99,520,49,0,ananya,India,Punjab,Male,1979-02-27,,0,,,1510.0,low,0,0,,6
1603-IDKTG,2020-08-02,Paid,2027-08-02,Basic,Annual,,,6.99,756,40,0,kabir,India,Karnataka,Male,1960-09-05,,0,,,2228.0,low,0,0,,4
1606-JXYJN,2020-09-06,Refferal,2027-09-06,Premium,Annual,,,22.99,1946,8,0,rohit,India,Maharashtra,Male,1979-01-01,,0,,,2193.0,low,0,0,,1
1624-UYWTG,2020-11-24,Organic,2026-11-24,Basic,Annual,,,7.99,707,27,0,sameer,India,Telangana,Male,1997-11-16,2025-09-08,0,90.0,2.0,2114.0,low,2,0,85.0,2
1648-KQKGY,2026-02-15,Refferal,2027-02-15,Basic,Monthly,2026-08-02,Poor service quality,7.99,60,77,1,juhi,India,Tamil Nadu,Male,1988-11-23,2026-05-12,0,20.0,1.0,168.0,high,1,0,20.0,10
1662-JGHRQ,2021-09-26,Paid,2024-09-26,Standard,Monthly,2024-09-18,Billing issue,15.99,566,69,1,bhavna,India,Maharashtra,Male,1984-01-09,2022-11-07,1,30.0,2.0,1088.0,med,2,1,30.0,9
1677-EDOAO,2020-08-18,Paid,2026-08-18,Basic,Monthly,2026-06-30,Poor service quality,6.99,420,75,1,sonal,India,Karnataka,Female,1985-05-29,2025-09-21,0,30.0,2.0,2142.0,high,2,1,40.0,10
1679-MBEKU,2019-09-11,Organic,2026-09-11,Standard,Monthly,,,13.99,1455,43,0,swati,India,Delhi,Male,2000-04-29,,0,,,2554.0,low,0,0,,5
1693-PGRKP,2024-03-30,Paid,2027-03-30,Standard,Annual,,,13.99,702,48,0,smita,India,Maharashtra,Female,2002-10-10,2026-07-31,0,90.0,1.0,892.0,low,1,0,90.0,5
1694-UKPLU,2021-02-27,Organic,2027-02-27,Standard,Monthly,,,15.99,952,44,0,arjun,India,Maharashtra,Male,1991-02-26,2024-09-28,1,40.0,1.0,2019.0,low,1,1,40.0,5
1695-SVETJ,2023-10-18,Organic,2026-10-18,Standard,Monthly,2026-04-15,No longer needed,15.99,508,60,1,ananya,India,Haryana,Male,1964-04-13,,0,,,910.0,med,0,0,,8
1696-XRXVI,2025-07-17,Organic,2027-07-17,Standard,Monthly,,,13.99,308,43,0,mahesh,India,Delhi,Male,1973-04-02,,0,,,418.0,low,0,0,,5
1699-WBZEK,2024-04-08,Organic,2027-04-08,Premium,Annual,,,25.99,1485,20,0,arjun,India,Odisha,Male,1967-07-16,,0,,,883.0,low,0,0,,1
1708-GMNEY,2024-11-24,Organic,2025-11-24,Basic,Monthly,2025-02-24,Billing issue,7.99,60,57,1,sanjay,India,Bihar,Male,1999-04-23,2024-12-04,0,50.0,1.0,92.0,med,1,0,50.0,7
1738-EKMGH,2020-03-14,Paid,2027-03-14,Basic,Annual,,,7.99,900,54,0,aditya,India,Karnataka,Female,1988-06-17,,0,,,2369.0,med,0,0,,6
1747-IEHJD,2025-06-09,Paid,2027-06-09,Standard,Annual,,,13.99,586,38,0,lalita,India,West Bengal,Male,1980-08-14,2025-09-25,0,60.0,1.0,456.0,low,1,0,60.0,4
1752-PUEHY,2025-10-03,Organic,2026-10-03,Basic,Annual,,,7.99,205,27,0,rohit,India,Telangana,Female,1987-05-31,,0,,,340.0,low,0,0,,2
1767-TAFPS,2022-07-24,Refferal,2027-07-24,Basic,Monthly,,,6.99,442,54,0,akash,India,West Bengal,Male,1987-09-06,2026-01-09,0,80.0,1.0,1507.0,med,1,0,80.0,6
1769-AZICE,2022-08-07,Paid,2026-08-07,Basic,Monthly,2026-07-23,No longer needed,6.99,321,70,1,sonal,India,Maharashtra,Male,1990-01-20,2025-08-08,0,40.0,1.0,1446.0,high,1,0,40.0,9
1774-EJWAH,2022-09-11,Refferal,2026-09-11,Standard,Monthly,,,15.99,1102,50,0,priya,India,Karnataka,Male,2005-04-15,2024-02-25,0,60.0,1.0,1458.0,med,1,0,60.0,6
1778-LFBJR,2025-08-19,Paid,2027-08-19,Basic,Annual,,,6.99,283,45,0,asha,India,Maharashtra,Male,1966-04-08,,0,,,385.0,low,0,0,,5
1807-ENBHL,2023-02-20,Organic,2027-02-20,Standard,Annual,,,15.99,1196,23,0,vikram,India,Telangana,Male,1963-04-16,,0,,,1296.0,low,0,0,,2
1815-YTULM,2020-01-29,Refferal,2027-01-29,Premium,Annual,,,22.99,2215,1,0,madhavi,India,Odisha,Female,2004-07-22,,0,,,2414.0,low,0,0,,1
1824-HSBLP,2026-01-18,Refferal,2027-01-18,Standard,Monthly,,,15.99,270,61,0,kabir,India,Gujarat,Female,1988-01-21,2026-04-10,1,60.0,1.0,233.0,med,1,1,60.0,8
1832-MOUKX,2021-01-03,Paid,2025-01-03,Basic,Monthly,2024-02-18,Moved to family plan,6.99,261,77,1,sameer,India,West Bengal,Female,1983-10-19,2022-08-22,0,30.0,2.0,1141.0,high,2,0,30.0,10
1852-GWSDW,2025-10-16,Paid,2026-10-16,Premium,Annual,,,22.99,808,21,0,vishal,India,Odisha,Male,1970-06-09,,0,,,327.0,low,0,0,,1
1853-ONKTR,2025-01-09,Paid,2027-01-09,Basic,Monthly,2026-07-06,Poor service quality,6.99,145,77,1,ananya,India,Gujarat,Female,1960-12-07,2025-10-21,0,50.0,1.0,543.0,high,1,0,50.0,10
1856-QEREL,2020-04-17,Paid,2027-04-17,Premium,Annual,,,22.99,2318,22,0,manish,India,Maharashtra,Female,1988-09-16,,0,,,2335.0,low,0,0,,2
1867-ZWSTP,2024-07-26,Paid,2027-07-26,Standard,Annual,,,15.99,701,35,0,mahesh,India,Punjab,Female,1972-06-06,2025-07-05,0,80.0,1.0,774.0,low,1,0,80.0,3
1874-DJBBZ,2022-12-20,Paid,2025-12-20,Basic,Monthly,2025-10-10,Billing issue,6.99,212,75,1,nikhil,India,Tamil Nadu,Female,1963-07-08,,0,,,1025.0,high,0,0,,10
1879-DMXUN,2023-12-22,Organic,2026-12-22,Premium,Monthly,,,22.99,1117,32,0,lalita,India,Maharashtra,Female,1968-01-24,2025-09-29,0,60.0,1.0,991.0,low,1,0,60.0,3
1882-IRDRC,2022-04-25,Organic,2027-04-25,Standard,Monthly,,,15.99,994,42,0,vaishnavi,India,Uttar Pradesh,Female,1994-05-23,,0,,,1597.0,low,0,0,,4
1895-QKISK,2023-10-20,Organic,2026-10-20,Standard,Monthly,,,13.99,621,69,0,madhavi,India,Madhya Pradesh,Female,1968-08-04,2025-01-26,0,80.0,2.0,1054.0,med,2,0,70.0,9
1897-DJXRM,2023-07-13,Organic,2027-07-13,Standard,Annual,,,13.99,1007,40,0,arjun,India,Delhi,Male,1988-07-30,,0,,,1153.0,low,0,0,,4
1898-ABPEG,2020-11-13,Organic,2024-11-13,Standard,Monthly,2024-08-18,Technical problems,15.99,643,72,1,mira,India,Uttar Pradesh,Female,2007-05-24,2021-08-28,0,20.0,1.0,1374.0,high,1,0,20.0,9
1914-OUCBW,2022-09-29,Refferal,2026-09-29,Standard,Monthly,,,13.99,597,49,0,rohit,India,Karnataka,Male,1971-03-20,2025-12-13,0,70.0,1.0,1440.0,low,1,0,70.0,6
1922-UFXOU,2022-09-02,Organic,2027-09-02,Premium,Monthly,,,22.99,1222,67,0,mira,India,Maharashtra,Female,1967-09-24,2026-04-15,1,40.0,2.0,1467.0,med,2,1,60.0,9
1923-VIIYD,2020-12-14,Organic,2022-12-14,Basic,Monthly,2022-11-12,Poor service quality,6.99,165,62,1,tarun,India,Maharashtra,Female,1991-06-03,,0,,,698.0,med,0,0,,8
1943-RRSFS,2023-08-23,Organic,2027-08-23,Standard,Annual,,,15.99,970,35,0,sneha,India,West Bengal,Male,1986-06-07,,0,,,1112.0,low,0,0,,3
1949-KCCSC,2020-10-28,Paid,2026-10-28,Standard,Annual,,,15.99,1252,31,0,pragya,India,Punjab,Male,1990-12-30,,0,,,2141.0,low,0,0,,3
1965-IRENA,2021-07-26,Paid,2027-07-26,Standard,Monthly,,,13.99,1137,64,0,meera,India,Karnataka,Male,2002-02-03,,0,,,1870.0,med,0,0,,8
1998-AKKOF,2020-05-25,Paid,2021-05-25,Standard,Monthly,2020-08-23,Technical problems,15.99,60,63,1,trisha,India,Delhi,Male,1960-06-08,2020-06-06,0,80.0,1.0,90.0,med,1,0,80.0,8
1999-CRWDS,2023-06-06,Refferal,2027-06-06,Standard,Monthly,,,13.99,734,50,0,vaishnavi,India,Karnataka,Male,2006-10-06,,0,,,1190.0,med,0,0,,6
2010-WFSKB,2022-09-17,Refferal,2026-09-17,Premium,Monthly,,,22.99,1417,39,0,gaurav,India,Maharashtra,Female,1981-05-15,2024-10-05,0,80.0,2.0,1452.0,low,2,0,80.0,4
2035-SOHNX,2025-10-10,Refferal,2026-10-10,Basic,Monthly,2026-01-26,Billing issue,7.99,60,73,1,neha,India,Telangana,Female,2007-04-30,2026-01-12,0,60.0,2.0,108.0,high,2,1,35.0,10
2061-LLVHG,2025-11-23,Refferal,2026-11-23,Basic,Annual,,,7.99,294,29,0,arjun,India,West Bengal,Female,1974-02-02,2026-04-22,0,70.0,1.0,289.0,low,1,0,70.0,2
2065-HTFLR,2025-12-03,Organic,2026-12-03,Standard,Monthly,,,15.99,358,41,0,mira,India,Gujarat,Male,1964-12-20,,0,,,279.0,low,0,0,,4
2075-IGPHR,2022-03-08,Paid,2027-03-08,Basic,Monthly,,,6.99,517,66,0,yash,India,Tamil Nadu,Male,1977-08-03,2023-03-19,1,30.0,1.0,1645.0,med,1,1,30.0,9
2088-FXNSV,2024-05-14,Organic,2026-05-14,Basic,Monthly,2025-12-12,Billing issue,7.99,165,75,1,raghav,India,Telangana,Male,1978-10-29,2025-11-06,0,70.0,2.0,577.0,high,2,1,50.0,10
2100-LRKON,2024-08-18,Refferal,2027-08-18,Basic,Annual,,,7.99,430,26,0,kiran,India,Maharashtra,Female,1968-06-06,,0,,,751.0,low,0,0,,2
2147-INCKK,2022-05-25,Organic,2026-05-25,Standard,Monthly,2026-01-24,Moved to family plan,13.99,487,49,1,riya,India,Karnataka,Male,1961-07-02,,0,,,1340.0,low,0,0,,6
2149-NGZBZ,2023-11-08,Organic,2026-11-08,Premium,Annual,,,22.99,1377,22,0,kartik,India,Madhya Pradesh,Male,1966-07-13,,0,,,1035.0,low,0,0,,2
2155-ZLSTM,2025-09-23,Organic,2026-09-23,Standard,Monthly,,,13.99,279,57,0,lakshmi,India,Rajasthan,Male,1996-01-09,2025-12-22,0,70.0,1.0,350.0,med,1,0,70.0,7
2188-XEBFT,2022-09-20,Paid,2026-09-20,Basic,Annual,,,7.99,679,53,0,ritu,India,Madhya Pradesh,Female,1980-06-21,2023-10-17,1,30.0,1.0,1449.0,med,1,1,30.0,6
2220-XGDOW,2022-10-09,Paid,2026-10-09,Premium,Annual,,,25.99,2154,21,0,suresh,India,Haryana,Male,1968-08-04,2024-01-05,0,70.0,1.0,1430.0,low,1,0,70.0,1
2236-FTBQY,2025-09-10,Organic,2026-09-10,Basic,Monthly,2025-10-10,Technical problems,7.99,60,67,1,sanjay,India,Gujarat,Female,1993-12-08,,0,,,30.0,med,0,0,,9
2239-ZVWCP,2024-10-08,Paid,2025-10-08,Premium,Monthly,2025-03-22,Billing issue,22.99,124,56,1,yash,India,Madhya Pradesh,Female,1975-09-19,2025-03-20,0,40.0,1.0,165.0,med,1,0,40.0,7
2260-FHTPZ,2024-12-31,Organic,2026-12-31,Standard,Monthly,,,13.99,450,47,0,chitra,India,Tamil Nadu,Female,2006-02-09,,0,,,616.0,low,0,0,,5
2289-LRLJB,2021-09-26,Refferal,2026-09-26,Basic,Annual,,,7.99,756,28,0,harsh,India,Maharashtra,Male,1965-07-21,2025-12-23,0,70.0,1.0,1808.0,low,1,0,70.0,2
2337-WLAYN,2024-11-30,Organic,2026-11-30,Standard,Annual,,,15.99,604,18,0,ravindra,India,Maharashtra,Male,1978-02-04,,0,,,647.0,low,0,0,,1
2341-VKTBL,2026-06-27,Organic,2027-06-27,Basic,Monthly,2026-08-12,Switched to competitor,6.99,60,60,1,prateek,India,Maharashtra,Male,1972-06-21,2026-07-18,0,40.0,1.0,46.0,med,1,0,40.0,8
2345-DSUPD,2024-10-15,Paid,2026-10-15,Premium,Monthly,,,22.99,780,56,0,neha,India,Maharashtra,Male,1968-06-15,2026-02-03,0,50.0,2.0,693.0,med,2,0,55.0,7
2352-TSUEM,2023-05-08,Paid,2027-05-08,Basic,Monthly,,,6.99,248,62,0,dinesh,India,Tamil Nadu,Female,1997-07-29,,0,,,1219.0,med,0,0,,8
2354-HUYRX,2021-03-18,Refferal,2027-03-18,Premium,Monthly,,,22.99,1797,43,0,trisha,India,West Bengal,Male,1986-06-13,,0,,,2000.0,low,0,0,,5
2363-DUDRS,2026-04-26,Paid,2027-04-26,Premium,Annual,,,22.99,749,31,0,nisha,India,Kerala,Male,1966-12-09,,0,,,135.0,low,0,0,,3
2395-MFMLA,2020-05-31,Refferal,2022-05-31,Premium,Monthly,2022-03-27,Moved to family plan,25.99,652,67,1,mayank,India,Telangana,Male,2000-12-11,2022-03-05,1,40.0,1.0,665.0,med,1,1,40.0,9
2396-RQDVF,2024-05-02,Organic,2025-05-02,Premium,Monthly,2024-09-23,Too expensive,25.99,114,59,1,keshav,India,Karnataka,Female,1968-07-12,2024-05-12,0,20.0,1.0,144.0,med,1,0,20.0,7
2403-UPTCV,2024-04-01,Organic,2027-04-01,Basic,Annual,,,6.99,394,54,0,sneha,India,Rajasthan,Male,1994-05-29,2025-10-07,0,100.0,1.0,890.0,med,1,0,100.0,6
2416-ZLZXX,2026-07-30,Refferal,2027-07-30,Standard,Annual,,,13.99,412,27,0,mohan,India,Tamil Nadu,Female,1980-06-14,,0,,,40.0,low,0,0,,2
2483-YOHKP,2024-09-20,Organic,2026-09-20,Premium,Annual,,,22.99,979,28,0,gaurav,India,Maharashtra,Male,1983-07-30,2026-04-14,0,80.0,1.0,718.0,low,1,0,80.0,2
2484-IJDSO,2023-05-08,Refferal,2027-05-08,Basic,Monthly,,,7.99,453,53,0,vivek,India,Delhi,Female,1975-09-17,2025-10-18,0,80.0,1.0,1219.0,med,1,0,80.0,6
2487-HIOHQ,2022-03-26,Organic,2027-03-26,Basic,Annual,,,6.99,574,42,0,pragya,India,Delhi,Female,1967-04-19,2025-06-18,0,80.0,1.0,1627.0,low,1,0,80.0,4
2500-XYNET,2021-03-24,Paid,2027-03-24,Basic,Annual,,,6.99,593,36,0,tarun,India,Delhi,Male,1991-05-27,2022-04-20,0,70.0,1.0,1994.0,low,1,0,70.0,3
2530-NUEIU,2022-12-19,Organic,2026-12-19,Basic,Monthly,,,7.99,452,60,0,priya,India,Kerala,Male,1999-12-16,2023-11-03,1,30.0,1.0,1359.0,med,1,1,30.0,8
2545-QWOLD,2025-12-22,Paid,2026-12-22,Premium,Monthly,,,22.99,442,67,0,sameer,India,Rajasthan,Male,1987-07-21,,0,,,260.0,med,0,0,,9
2550-QNQQQ,2023-11-26,Refferal,2026-11-26,Standard,Annual,,,13.99,909,8,0,riya,India,West Bengal,Male,1978-04-18,,0,,,1017.0,low,0,0,,1
2553-MFQGD,2021-06-15,Organic,2022-06-15,Standard,Monthly,2021-12-14,Too expensive,13.99,80,72,1,sunita,India,Karnataka,Male,1971-03-22,2021-11-26,0,50.0,2.0,182.0,high,2,1,40.0,9
2553-RXHRB,2022-02-19,Organic,2027-02-19,Premium,Annual,,,22.99,1903,8,0,kavya,India,Kerala,Female,1971-09-20,,0,,,1662.0,low,0,0,,1
2558-ACEUQ,2022-07-13,Organic,2027-07-13,Basic,Annual,,,7.99,561,40,0,pooja,India,Gujarat,Female,1991-01-30,,0,,,1518.0,low,0,0,,4
2602-BIPEV,2023-01-26,Organic,2027-01-26,Premium,Annual,,,25.99,1601,28,0,girish,India,Karnataka,Male,1963-05-10,,0,,,1321.0,low,0,0,,2
2611-SULTH,2023-02-05,Organic,2027-02-05,Basic,Annual,,,7.99,563,40,0,ritu,India,Gujarat,Female,2004-07-26,2025-07-02,0,100.0,1.0,1311.0,low,1,0,100.0,4
2612-XGEGI,2019-08-15,Refferal,2027-08-15,Basic,Annual,,,6.99,691,56,0,aarti,India,Uttar Pradesh,Male,2002-05-19,2025-10-21,1,70.0,2.0,2581.0,med,2,1,75.0,7
2613-YYNKV,2022-06-03,Organic,2025-06-03,Basic,Monthly,2025-02-19,Technical problems,6.99,250,82,1,arjun,India,Tamil Nadu,Female,2006-02-18,2024-04-07,1,30.0,3.0,992.0,high,3,1,20.0,10
2630-RNATK,2022-06-09,Paid,2025-06-09,Basic,Monthly,2024-12-19,Too expensive,6.99,227,84,1,imran,India,Maharashtra,Male,1963-10-12,,0,,,924.0,high,0,0,,10
2638-NUIBB,2024-04-18,Paid,2027-04-18,Standard,Annual,,,13.99,695,39,0,amit,India,Uttar Pradesh,Female,1999-11-09,,0,,,873.0,low,0,0,,4
2648-MLISH,2023-03-14,Organic,2027-03-14,Standard,Monthly,,,13.99,758,57,0,riya,India,Maharashtra,Female,1979-07-26,2026-08-29,1,80.0,1.0,1274.0,med,1,1,80.0,7
2650-AYAOZ,2021-08-19,Organic,2027-08-19,Basic,Annual,,,7.99,628,35,0,aniket,India,Karnataka,Male,1968-12-02,2023-04-17,0,80.0,1.0,1846.0,low,1,0,80.0,3
2661-YLVGA,2020-07-31,Paid,2027-07-31,Basic,Annual,,,7.99,640,35,0,sneha,India,Karnataka,Male,1971-03-03,,0,,,2230.0,low,0,0,,3
2670-UMEEO,2021-02-19,Paid,2027-02-19,Standard,Monthly,,,13.99,1008,53,0,lakshmi,India,Bihar,Male,1962-01-13,,0,,,2027.0,med,0,0,,6
2689-GVVWQ,2021-12-21,Refferal,2026-12-21,Basic,Annual,,,7.99,656,11,0,ruchi,India,Delhi,Female,2005-05-25,,0,,,1722.0,low,0,0,,1
2689-HLARP,2021-02-23,Paid,2026-02-23,Premium,Monthly,2025-11-13,Poor service quality,25.99,1564,69,1,amit,India,Tamil Nadu,Male,1988-01-10,2025-10-21,1,10.0,1.0,1724.0,med,1,1,10.0,9
2695-YZZTB,2026-06-15,Paid,2027-06-15,Premium,Annual,,,22.99,674,15,0,keshav,India,Delhi,Female,1983-12-08,,0,,,85.0,low,0,0,,1
2731-DCPRH,2024-10-08,Refferal,2026-10-08,Standard,Monthly,,,15.99,603,33,0,nisha,India,Haryana,Female,1974-05-17,2026-01-07,0,80.0,2.0,700.0,low,2,0,90.0,3
2741-LNGGG,2024-12-16,Refferal,2026-12-16,Standard,Annual,,,15.99,659,34,0,mira,India,Telangana,Female,1978-07-25,2026-01-24,1,40.0,1.0,631.0,low,1,1,40.0,3
2747-ECTVM,2022-01-12,Refferal,2027-01-12,Standard,Annual,,,13.99,1093,32,0,pallavi,India,Haryana,Male,1981-09-22,2025-09-19,0,80.0,2.0,1700.0,low,2,1,70.0,3
2751-HFZES,2021-04-29,Organic,2027-04-29,Standard,Monthly,,,15.99,1442,39,0,gaurav,India,Delhi,Male,1993-09-10,,0,,,1958.0,low,0,0,,4
2756-DAYNK,2025-08-19,Refferal,2027-08-19,Premium,Monthly,,,25.99,472,13,0,sneha,India,Maharashtra,Female,2002-06-18,,0,,,385.0,low,0,0,,1
2775-GQIOT,2025-04-25,Refferal,2027-04-25,Premium,Monthly,,,22.99,597,54,0,madhavi,India,Telangana,Male,1987-05-13,2026-05-10,0,100.0,2.0,501.0,med,2,1,85.0,6
2779-SUZOA,2023-02-28,Refferal,2027-02-28,Standard,Annual,,,15.99,952,34,0,meera,India,Tamil Nadu,Female,1995-11-04,2024-11-20,1,50.0,1.0,1288.0,low,1,1,50.0,3
2806-BNBFA,2019-10-18,Paid,2026-10-18,Standard,Monthly,,,15.99,1463,57,0,nikhil,India,Kerala,Male,1981-05-22,2025-08-20,0,70.0,2.0,2517.0,med,2,0,80.0,7
2806-HWBKL,2026-09-02,Refferal,2027-09-02,Premium,Monthly,,,22.99,244,45,0,leela,India,Punjab,Male,1969-01-28,,0,,,6.0,low,0,0,,5
2828-DHDER,2020-06-05,Paid,2027-06-05,Basic,Annual,,,6.99,758,53,0,arjun,India,Uttar Pradesh,Female,1981-12-29,2021-03-10,0,80.0,1.0,2286.0,med,1,0,80.0,6
2850-UXMAN,2025-04-23,Paid,2027-04-23,Standard,Monthly,,,13.99,397,63,0,manish,India,Odisha,Male,1980-02-16,,0,,,503.0,med,0,0,,8
2868-WGHVW,2024-10-10,Paid,2025-10-10,Standard,Monthly,2025-06-01,No longer needed,13.99,91,84,1,abhishek,India,Telangana,Male,2005-05-25,2024-11-06,1,30.0,1.0,234.0,high,1,1,30.0,10
2872-QTAOZ,2022-03-11,Paid,2027-03-11,Standard,Annual,,,13.99,1039,40,0,pallavi,India,Delhi,Male,1977-08-30,,0,,,1642.0,low,0,0,,4
2879-VGUMG,2021-07-02,Paid,2022-07-02,Basic,Monthly,2022-04-10,Poor service quality,6.99,65,71,1,manish,India,Uttar Pradesh,Male,1986-04-09,2021-10-05,1,30.0,1.0,282.0,high,1,1,30.0,9
2884-KGTCV,2020-06-18,Organic,2025-06-18,Basic,Monthly,2025-05-30,Billing issue,7.99,516,63,1,trisha,India,Maharashtra,Female,2002-05-22,2023-11-06,0,50.0,1.0,1807.0,med,1,0,50.0,8
2889-RXAAA,2026-08-25,Organic,2027-08-25,Basic,Annual,,,6.99,239,43,0,keshav,India,Kerala,Male,1997-03-27,,0,,,14.0,low,0,0,,5
2897-XTTHZ,2026-05-04,Organic,2027-05-04,Standard,Annual,,,15.99,523,22,0,asha,India,Maharashtra,Male,1970-12-04,,0,,,127.0,low,0,0,,2
2898-PGZHN,2023-04-14,Paid,2027-04-14,Premium,Monthly,,,25.99,1183,44,0,lakshmi,India,Delhi,Male,1963-12-12,,0,,,1243.0,low,0,0,,5
2900-CKWEA,2022-09-17,Paid,2026-09-17,Premium,Annual,,,22.99,1675,29,0,mohan,India,Telangana,Female,1983-05-13,,0,,,1452.0,low,0,0,,2
2907-WOEJA,2024-10-30,Refferal,2026-10-30,Basic,Monthly,2026-08-12,Technical problems,7.99,175,57,1,rohit,India,Maharashtra,Male,1961-09-13,2025-09-09,1,10.0,1.0,651.0,med,1,1,10.0,7
2911-GGXOL,2022-02-26,Refferal,2027-02-26,Basic,Monthly,,,6.99,428,47,0,ananya,India,Maharashtra,Female,1999-10-08,2025-04-09,0,80.0,1.0,1655.0,low,1,0,80.0,5
2947-ADYKM,2024-10-19,Paid,2026-10-19,Premium,Annual,,,22.99,1181,20,0,shreya,India,West Bengal,Female,1993-08-01,,0,,,689.0,low,0,0,,1
2955-TEZHB,2020-01-19,Organic,2023-01-19,Standard,Monthly,2022-06-22,Technical problems,13.99,296,71,1,tanvi,India,Maharashtra,Male,1963-04-13,2022-03-30,0,30.0,2.0,885.0,high,2,1,30.0,9
2959-ISLVW,2025-06-04,Paid,2027-06-04,Standard,Monthly,2026-06-25,Billing issue,13.99,189,70,1,kiran,India,Uttar Pradesh,Female,1999-10-29,2026-05-05,0,50.0,2.0,386.0,high,2,0,70.0,9
2979-FONKU,2022-01-09,Refferal,2027-01-09,Standard,Annual,,,13.99,1081,27,0,isha,India,Delhi,Female,1976-01-12,,0,,,1703.0,low,0,0,,2
2994-RZVKG,2022-11-30,Paid,2026-11-30,Basic,Monthly,,,7.99,444,61,0,vaishnavi,India,Karnataka,Male,1997-08-01,2026-09-02,0,90.0,1.0,1378.0,med,1,0,90.0,8
2997-FJWOV,2025-12-15,Refferal,2026-12-15,Premium,Monthly,,,22.99,534,42,0,varun,India,Karnataka,Male,1992-11-08,2026-08-14,0,100.0,2.0,267.0,low,2,0,95.0,4
2998-YFATQ,2022-05-20,Refferal,2027-05-20,Standard,Monthly,,,15.99,850,58,0,harsh,India,Rajasthan,Female,1985-12-07,2024-02-25,0,50.0,2.0,1572.0,med,2,0,55.0,7
3002-OKOZX,2025-08-23,Organic,2027-08-23,Basic,Annual,,,6.99,278,30,0,shreya,India,Bihar,Female,1990-02-24,2026-01-31,0,80.0,1.0,381.0,low,1,0,80.0,3
3007-GVDAW,2022-11-06,Paid,2026-11-06,Premium,Annual,,,22.99,1814,19,0,tanvi,India,Karnataka,Female,1966-11-22,,0,,,1402.0,low,0,0,,1
3008-AXBOW,2022-03-01,Paid,2027-03-01,Standard,Annual,,,13.99,1146,18,0,chitra,India,Bihar,Female,1961-08-02,2024-12-29,0,70.0,1.0,1652.0,low,1,0,70.0,1
3012-RAFXC,2026-03-05,Paid,2027-03-05,Premium,Monthly,,,22.99,318,56,0,manish,India,Telangana,Male,1983-05-03,,0,,,187.0,med,0,0,,7
3018-POLHK,2025-02-25,Organic,2027-02-25,Standard,Annual,2026-04-20,No longer needed,15.99,256,47,1,harsh,India,Gujarat,Female,1982-06-29,2026-01-08,0,80.0,2.0,419.0,low,2,0,55.0,5
3022-OICRR,2024-08-01,Organic,2027-08-01,Standard,Annual,,,13.99,699,31,0,girish,India,West Bengal,Female,2005-09-28,2026-05-10,1,80.0,1.0,768.0,low,1,1,80.0,3
3026-XXVNM,2020-01-30,Organic,2027-01-30,Premium,Monthly,,,25.99,2198,49,0,sonal,India,West Bengal,Male,1996-11-23,,0,,,2413.0,low,0,0,,6
